,model,modelsize,task_name,accuracy,size_trainset,seed,trainset,testset
47,Shallow,1fach,Trained_TUABEXB_test_TUABEXB,82.0,1600,5157,TUABEXB-R,TUABEXB-R
48,Shallow,1fach,Trained_TUABEXB_test_TUABEXB,82.68,1600,15011963,TUABEXB-R,TUABEXB-R
49,Shallow,1fach,Trained_TUABEXB_test_TUABEXB,82.68,1600,682016,TUABEXB-R,TUABEXB-R
50,Shallow,1fach,Trained_TUABEXB_test_TUABEXB,82.23,3200,0,TUABEXB-R,TUABEXB-R
51,Shallow,1fach,Trained_TUABEXB_test_TUABEXB,84.36,3200,1,TUABEXB-R,TUABEXB-R
52,Shallow,1fach,Trained_TUABEXB_test_TUABEXB,83.91,3200,19022005,TUABEXB-R,TUABEXB-R
53,Shallow,1fach,Trained_TUABEXB_test_TUABEXB,83.69,3200,20110407,TUABEXB-R,TUABEXB-R
54,Shallow,1fach,Trained_TUABEXB_test_TUABEXB,84.03,3200,20170629,TUABEXB-R,TUABEXB-R
55,Shallow,1fach,Trained_TUABEXB_test_TUABEXB,84.59,3200,42,TUABEXB-R,TUABEXB-R
56,Shallow,1fach,Trained_TUABEXB_test_TUABEXB,83.69,3200,73,TUABEXB-R,TUABEXB-R
57,Shallow,1fach,Trained_TUABEXB_test_TUABEXB,83.69,3200,5157,TUABEXB-R,TUABEXB-R
58,Shallow,1fach,Trained_TUABEXB_test_TUABEXB,85.04,3200,15011963,TUABEXB-R,TUABEXB-R
59,Shallow,1fach,Trained_TUABEXB_test_TUABEXB,84.93,3200,682016,TUABEXB-R,TUABEXB-R
60,Shallow,1fach,Trained_TUABEXB_test_TUABEXB,85.04,6400,0,TUABEXB-R,TUABEXB-R
61,Shallow,1fach,Trained_TUABEXB_test_TUABEXB,85.04,6400,1,TUABEXB-R,TUABEXB-R
62,Shallow,1fach,Trained_TUABEXB_test_TUABEXB,85.26,6400,19022005,TUABEXB-R,TUABEXB-R
63,Shallow,1fach,Trained_TUABEXB_test_TUABEXB,84.25,6400,20110407,TUABEXB-R,TUABEXB-R
64,Shallow,1fach,Trained_TUABEXB_test_TUABEXB,84.36,6400,20170629,TUABEXB-R,TUABEXB-R
65,Shallow,1fach,Trained_TUABEXB_test_TUABEXB,84.81,6400,42,TUABEXB-R,TUABEXB-R
66,Shallow,1fach,Trained_TUABEXB_test_TUABEXB,83.8,6400,73,TUABEXB-R,TUABEXB-R
67,Shallow,1fach,Trained_TUABEXB_test_TUABEXB,84.59,6400,5157,TUABEXB-R,TUABEXB-R
68,Shallow,1fach,Trained_TUABEXB_test_TUABEXB,84.48,6400,15011963,TUABEXB-R,TUABEXB-R
69,Shallow,1fach,Trained_TUABEXB_test_TUABEXB,84.93,6400,682016,TUABEXB-R,TUABEXB-R
70,Shallow,1fach,Trained_TUABEXB_test_TUABEXB,84.93,7990,0,TUABEXB-R,TUABEXB-R
71,Shallow,1fach,Trained_TUABEXB_test_TUABEXB,84.25,7990,1,TUABEXB-R,TUABEXB-R
72,Shallow,1fach,Trained_TUABEXB_test_TUABEXB,84.59,7990,19022005,TUABEXB-R,TUABEXB-R
73,Shallow,1fach,Trained_TUABEXB_test_TUABEXB,83.58,7990,20110407,TUABEXB-R,TUABEXB-R
74,Shallow,1fach,Trained_TUABEXB_test_TUABEXB,84.7,7990,20170629,TUABEXB-R,TUABEXB-R
75,Shallow,1fach,Trained_TUABEXB_test_TUABEXB,85.26,7990,42,TUABEXB-R,TUABEXB-R
76,Shallow,1fach,Trained_TUABEXB_test_TUABEXB,85.38,7990,73,TUABEXB-R,TUABEXB-R
77,Shallow,1fach,Trained_TUABEXB_test_TUABEXB,84.7,7990,5157,TUABEXB-R,TUABEXB-R
78,Shallow,1fach,Trained_TUABEXB_test_TUABEXB,82.68,7990,15011963,TUABEXB-R,TUABEXB-R
79,Shallow,1fach,Trained_TUABEXB_test_TUABEXB,84.59,7990,682016,TUABEXB-R,TUABEXB-R
