,modelsize,task_name,accuracy,error,seed,trainset,testset
8,0.25fach,TUABCOMBR_test_TUABEXBR,85.26,14.739999999999995,15011963,TUABCOMB-R,TUABEXB-R
9,0.25fach,TUABCOMBR_test_TUABEXBR,85.15,14.849999999999994,682016,TUABCOMB-R,TUABEXB-R
0,0.5fach,TUABCOMBR_test_TUABEXBR,84.81,15.189999999999998,0,TUABCOMB-R,TUABEXB-R
1,0.5fach,TUABCOMBR_test_TUABEXBR,86.05,13.950000000000003,1,TUABCOMB-R,TUABEXB-R
2,0.5fach,TUABCOMBR_test_TUABEXBR,85.49,14.510000000000005,19022005,TUABCOMB-R,TUABEXB-R
3,0.5fach,TUABCOMBR_test_TUABEXBR,84.7,15.299999999999997,20110407,TUABCOMB-R,TUABEXB-R
4,0.5fach,TUABCOMBR_test_TUABEXBR,85.38,14.620000000000005,20170629,TUABCOMB-R,TUABEXB-R
5,0.5fach,TUABCOMBR_test_TUABEXBR,85.6,14.400000000000006,42,TUABCOMB-R,TUABEXB-R
6,0.5fach,TUABCOMBR_test_TUABEXBR,85.15,14.849999999999994,73,TUABCOMB-R,TUABEXB-R
7,0.5fach,TUABCOMBR_test_TUABEXBR,84.81,15.189999999999998,5157,TUABCOMB-R,TUABEXB-R
8,0.5fach,TUABCOMBR_test_TUABEXBR,85.04,14.959999999999994,15011963,TUABCOMB-R,TUABEXB-R
9,0.5fach,TUABCOMBR_test_TUABEXBR,85.71,14.290000000000006,682016,TUABCOMB-R,TUABEXB-R
0,1fach,,84.7,15.299999999999997,0,TUABCOMB-R,TUABEXB-R
1,1fach,,84.03,15.969999999999999,1,TUABCOMB-R,TUABEXB-R
2,1fach,,85.26,14.739999999999995,19022005,TUABCOMB-R,TUABEXB-R
3,1fach,,85.04,14.959999999999994,20110407,TUABCOMB-R,TUABEXB-R
4,1fach,,84.93,15.069999999999993,20170629,TUABCOMB-R,TUABEXB-R
5,1fach,,85.94,14.060000000000002,42,TUABCOMB-R,TUABEXB-R
6,1fach,,85.71,14.290000000000006,73,TUABCOMB-R,TUABEXB-R
7,1fach,,85.15,14.849999999999994,5157,TUABCOMB-R,TUABEXB-R
8,1fach,,84.81,15.189999999999998,15011963,TUABCOMB-R,TUABEXB-R
9,1fach,,85.26,14.739999999999995,682016,TUABCOMB-R,TUABEXB-R
0,2fach,TUABCOMBR_test_TUABEXBR,84.36,15.64,0,TUABCOMB-R,TUABEXB-R
1,2fach,TUABCOMBR_test_TUABEXBR,84.7,15.299999999999997,1,TUABCOMB-R,TUABEXB-R
2,2fach,TUABCOMBR_test_TUABEXBR,85.26,14.739999999999995,19022005,TUABCOMB-R,TUABEXB-R
3,2fach,TUABCOMBR_test_TUABEXBR,84.93,15.069999999999993,20110407,TUABCOMB-R,TUABEXB-R
4,2fach,TUABCOMBR_test_TUABEXBR,84.14,15.86,20170629,TUABCOMB-R,TUABEXB-R
5,2fach,TUABCOMBR_test_TUABEXBR,84.48,15.519999999999996,42,TUABCOMB-R,TUABEXB-R
6,2fach,TUABCOMBR_test_TUABEXBR,85.38,14.620000000000005,73,TUABCOMB-R,TUABEXB-R
