,modelsize,task_name,accuracy,error,seed,trainset,testset
9,1fach,TUAB_saturation_all,83.7,16.299999999999997,682016,TUAB-R,TUAB-R
0,2fach,TUAB_test_TUAB,85.51,14.489999999999995,0,TUAB-R,TUAB-R
1,2fach,TUAB_test_TUAB,84.78,15.219999999999999,1,TUAB-R,TUAB-R
2,2fach,TUAB_test_TUAB,82.97,17.03,19022005,TUAB-R,TUAB-R
3,2fach,TUAB_test_TUAB,85.51,14.489999999999995,20110407,TUAB-R,TUAB-R
4,2fach,TUAB_test_TUAB,82.61,17.39,20170629,TUAB-R,TUAB-R
5,2fach,TUAB_test_TUAB,82.25,17.75,42,TUAB-R,TUAB-R
6,2fach,TUAB_test_TUAB,82.25,17.75,73,TUAB-R,TUAB-R
7,2fach,TUAB_test_TUAB,81.88,18.120000000000005,5157,TUAB-R,TUAB-R
8,2fach,TUAB_test_TUAB,81.16,18.840000000000003,15011963,TUAB-R,TUAB-R
9,2fach,TUAB_test_TUAB,84.42,15.579999999999998,682016,TUAB-R,TUAB-R
0,4fach,TUAB_test_TUAB,84.78,15.219999999999999,0,TUAB-R,TUAB-R
1,4fach,TUAB_test_TUAB,84.06,15.939999999999998,1,TUAB-R,TUAB-R
2,4fach,TUAB_test_TUAB,81.88,18.120000000000005,19022005,TUAB-R,TUAB-R
3,4fach,TUAB_test_TUAB,84.78,15.219999999999999,20110407,TUAB-R,TUAB-R
4,4fach,TUAB_test_TUAB,84.42,15.579999999999998,20170629,TUAB-R,TUAB-R
5,4fach,TUAB_test_TUAB,81.52,18.480000000000004,42,TUAB-R,TUAB-R
6,4fach,TUAB_test_TUAB,81.88,18.120000000000005,73,TUAB-R,TUAB-R
7,4fach,TUAB_test_TUAB,84.06,15.939999999999998,5157,TUAB-R,TUAB-R
8,4fach,TUAB_test_TUAB,84.78,15.219999999999999,15011963,TUAB-R,TUAB-R
9,4fach,TUAB_test_TUAB,83.7,16.299999999999997,682016,TUAB-R,TUAB-R
