,modelsize,task_name,accuracy,error,seed,trainset,testset
8,0.25fach,TUABCOMBR_test_TUABEXBR,83.01,16.989999999999995,15011963,TUABCOMB-R,TUABEXB-R
9,0.25fach,TUABCOMBR_test_TUABEXBR,83.58,16.42,682016,TUABCOMB-R,TUABEXB-R
0,0.5fach,TUABCOMBR_test_TUABEXBR,85.6,14.400000000000006,0,TUABCOMB-R,TUABEXB-R
1,0.5fach,TUABCOMBR_test_TUABEXBR,83.91,16.090000000000003,1,TUABCOMB-R,TUABEXB-R
2,0.5fach,TUABCOMBR_test_TUABEXBR,83.13,16.870000000000005,19022005,TUABCOMB-R,TUABEXB-R
3,0.5fach,TUABCOMBR_test_TUABEXBR,82.45,17.549999999999997,20110407,TUABCOMB-R,TUABEXB-R
4,0.5fach,TUABCOMBR_test_TUABEXBR,81.89,18.11,20170629,TUABCOMB-R,TUABEXB-R
5,0.5fach,TUABCOMBR_test_TUABEXBR,85.49,14.510000000000005,42,TUABCOMB-R,TUABEXB-R
6,0.5fach,TUABCOMBR_test_TUABEXBR,85.04,14.959999999999994,73,TUABCOMB-R,TUABEXB-R
7,0.5fach,TUABCOMBR_test_TUABEXBR,85.15,14.849999999999994,5157,TUABCOMB-R,TUABEXB-R
8,0.5fach,TUABCOMBR_test_TUABEXBR,84.59,15.409999999999997,15011963,TUABCOMB-R,TUABEXB-R
9,0.5fach,TUABCOMBR_test_TUABEXBR,80.76,19.239999999999995,682016,TUABCOMB-R,TUABEXB-R
0,1fach,,84.7,15.299999999999997,0,TUABCOMB-R,TUABEXB-R
1,1fach,,84.7,15.299999999999997,1,TUABCOMB-R,TUABEXB-R
2,1fach,,85.94,14.060000000000002,19022005,TUABCOMB-R,TUABEXB-R
3,1fach,,86.61,13.39,20110407,TUABCOMB-R,TUABEXB-R
4,1fach,,85.04,14.959999999999994,20170629,TUABCOMB-R,TUABEXB-R
5,1fach,,85.38,14.620000000000005,42,TUABCOMB-R,TUABEXB-R
6,1fach,,85.94,14.060000000000002,73,TUABCOMB-R,TUABEXB-R
7,1fach,,85.04,14.959999999999994,5157,TUABCOMB-R,TUABEXB-R
8,1fach,,85.26,14.739999999999995,15011963,TUABCOMB-R,TUABEXB-R
9,1fach,,84.93,15.069999999999993,682016,TUABCOMB-R,TUABEXB-R
0,2fach,TUABCOMBR_test_TUABEXBR,84.93,15.069999999999993,0,TUABCOMB-R,TUABEXB-R
1,2fach,TUABCOMBR_test_TUABEXBR,83.8,16.200000000000003,1,TUABCOMB-R,TUABEXB-R
2,2fach,TUABCOMBR_test_TUABEXBR,85.94,14.060000000000002,19022005,TUABCOMB-R,TUABEXB-R
