,modelsize,task_name,accuracy,error,seed,trainset,testset
0,0.5fach,TUABEXBR_test_TUABEXBR,81.55,18.450000000000003,0,TUABEXB-R,TUABEXB-R
1,0.5fach,TUABEXBR_test_TUABEXBR,83.13,16.870000000000005,1,TUABEXB-R,TUABEXB-R
2,0.5fach,TUABEXBR_test_TUABEXBR,85.26,14.739999999999995,19022005,TUABEXB-R,TUABEXB-R
3,0.5fach,TUABEXBR_test_TUABEXBR,84.81,15.189999999999998,20110407,TUABEXB-R,TUABEXB-R
4,0.5fach,TUABEXBR_test_TUABEXBR,84.81,15.189999999999998,20170629,TUABEXB-R,TUABEXB-R
5,0.5fach,TUABEXBR_test_TUABEXBR,83.58,16.42,42,TUABEXB-R,TUABEXB-R
6,0.5fach,TUABEXBR_test_TUABEXBR,83.91,16.090000000000003,73,TUABEXB-R,TUABEXB-R
7,0.5fach,TUABEXBR_test_TUABEXBR,83.69,16.310000000000002,5157,TUABEXB-R,TUABEXB-R
8,0.5fach,TUABEXBR_test_TUABEXBR,84.59,15.409999999999997,15011963,TUABEXB-R,TUABEXB-R
9,0.5fach,TUABEXBR_test_TUABEXBR,83.58,16.42,682016,TUABEXB-R,TUABEXB-R
0,1fach,,83.69,16.310000000000002,0,TUABEXB-R,TUABEXB-R
1,1fach,,83.46,16.540000000000006,1,TUABEXB-R,TUABEXB-R
2,1fach,,83.8,16.200000000000003,19022005,TUABEXB-R,TUABEXB-R
3,1fach,,85.83,14.170000000000002,20110407,TUABEXB-R,TUABEXB-R
4,1fach,,85.49,14.510000000000005,20170629,TUABEXB-R,TUABEXB-R
5,1fach,,84.7,15.299999999999997,42,TUABEXB-R,TUABEXB-R
6,1fach,,82.56,17.439999999999998,73,TUABEXB-R,TUABEXB-R
7,1fach,,80.2,19.799999999999997,5157,TUABEXB-R,TUABEXB-R
8,1fach,,85.15,14.849999999999994,15011963,TUABEXB-R,TUABEXB-R
9,1fach,,84.48,15.519999999999996,682016,TUABEXB-R,TUABEXB-R
