,modelsize,task_name,accuracy,error,seed,trainset,testset
4,27filter,TUABCOMBR_test_TUABEXBR_HPO,85.26,14.739999999999995,20170629,TUABCOMB-R,TUABEXB-R
5,27filter,TUABCOMBR_test_TUABEXBR_HPO,85.15,14.849999999999994,42,TUABCOMB-R,TUABEXB-R
6,27filter,TUABCOMBR_test_TUABEXBR_HPO,85.26,14.739999999999995,73,TUABCOMB-R,TUABEXB-R
7,27filter,TUABCOMBR_test_TUABEXBR_HPO,84.7,15.299999999999997,5157,TUABCOMB-R,TUABEXB-R
8,27filter,TUABCOMBR_test_TUABEXBR_HPO,85.71,14.290000000000006,15011963,TUABCOMB-R,TUABEXB-R
9,27filter,TUABCOMBR_test_TUABEXBR_HPO,85.83,14.170000000000002,682016,TUABCOMB-R,TUABEXB-R
0,39filter,TUABCOMBR_test_TUABEXBR_HPO,85.83,14.170000000000002,0,TUABCOMB-R,TUABEXB-R
1,39filter,TUABCOMBR_test_TUABEXBR_HPO,85.83,14.170000000000002,1,TUABCOMB-R,TUABEXB-R
2,39filter,TUABCOMBR_test_TUABEXBR_HPO,85.6,14.400000000000006,19022005,TUABCOMB-R,TUABEXB-R
3,39filter,TUABCOMBR_test_TUABEXBR_HPO,85.26,14.739999999999995,20110407,TUABCOMB-R,TUABEXB-R
4,39filter,TUABCOMBR_test_TUABEXBR_HPO,84.36,15.64,20170629,TUABCOMB-R,TUABEXB-R
5,39filter,TUABCOMBR_test_TUABEXBR_HPO,84.81,15.189999999999998,42,TUABCOMB-R,TUABEXB-R
6,39filter,TUABCOMBR_test_TUABEXBR_HPO,85.83,14.170000000000002,73,TUABCOMB-R,TUABEXB-R
7,39filter,TUABCOMBR_test_TUABEXBR_HPO,85.26,14.739999999999995,5157,TUABCOMB-R,TUABEXB-R
8,39filter,TUABCOMBR_test_TUABEXBR_HPO,85.83,14.170000000000002,15011963,TUABCOMB-R,TUABEXB-R
9,39filter,TUABCOMBR_test_TUABEXBR_HPO,86.05,13.950000000000003,682016,TUABCOMB-R,TUABEXB-R
0,55filter,TUABCOMBR_test_TUABEXBR_HPO,85.38,14.620000000000005,0,TUABCOMB-R,TUABEXB-R
1,55filter,TUABCOMBR_test_TUABEXBR_HPO,85.38,14.620000000000005,1,TUABCOMB-R,TUABEXB-R
2,55filter,TUABCOMBR_test_TUABEXBR_HPO,84.59,15.409999999999997,19022005,TUABCOMB-R,TUABEXB-R
3,55filter,TUABCOMBR_test_TUABEXBR_HPO,85.15,14.849999999999994,20110407,TUABCOMB-R,TUABEXB-R
4,55filter,TUABCOMBR_test_TUABEXBR_HPO,84.93,15.069999999999993,20170629,TUABCOMB-R,TUABEXB-R
5,55filter,TUABCOMBR_test_TUABEXBR_HPO,85.04,14.959999999999994,42,TUABCOMB-R,TUABEXB-R
6,55filter,TUABCOMBR_test_TUABEXBR_HPO,84.7,15.299999999999997,73,TUABCOMB-R,TUABEXB-R
7,55filter,TUABCOMBR_test_TUABEXBR_HPO,85.6,14.400000000000006,5157,TUABCOMB-R,TUABEXB-R
8,55filter,TUABCOMBR_test_TUABEXBR_HPO,85.49,14.510000000000005,15011963,TUABCOMB-R,TUABEXB-R
9,55filter,TUABCOMBR_test_TUABEXBR_HPO,85.49,14.510000000000005,682016,TUABCOMB-R,TUABEXB-R
0,75filter,TUABCOMBR_test_TUABCOMR_HPO,85.94,14.060000000000002,0,TUABCOMB-R,TUABEXB-R
1,75filter,TUABCOMBR_test_TUABCOMR_HPO,86.28,13.719999999999999,1,TUABCOMB-R,TUABEXB-R
2,75filter,TUABCOMBR_test_TUABCOMR_HPO,85.49,14.510000000000005,19022005,TUABCOMB-R,TUABEXB-R
3,75filter,TUABCOMBR_test_TUABCOMR_HPO,85.26,14.739999999999995,20110407,TUABCOMB-R,TUABEXB-R
4,75filter,TUABCOMBR_test_TUABCOMR_HPO,84.59,15.409999999999997,20170629,TUABCOMB-R,TUABEXB-R
5,75filter,TUABCOMBR_test_TUABCOMR_HPO,85.38,14.620000000000005,42,TUABCOMB-R,TUABEXB-R
6,75filter,TUABCOMBR_test_TUABCOMR_HPO,85.26,14.739999999999995,73,TUABCOMB-R,TUABEXB-R
7,75filter,TUABCOMBR_test_TUABCOMR_HPO,85.15,14.849999999999994,5157,TUABCOMB-R,TUABEXB-R
8,75filter,TUABCOMBR_test_TUABCOMR_HPO,85.15,14.849999999999994,15011963,TUABCOMB-R,TUABEXB-R
9,75filter,TUABCOMBR_test_TUABCOMR_HPO,85.83,14.170000000000002,682016,TUABCOMB-R,TUABEXB-R
0,110filter,TUABCOMBR_test_TUABEXBR_HPO3,84.48,15.519999999999996,0,TUABCOMB-R,TUABEXB-R
1,110filter,TUABCOMBR_test_TUABEXBR_HPO3,85.15,14.849999999999994,1,TUABCOMB-R,TUABEXB-R
2,110filter,TUABCOMBR_test_TUABEXBR_HPO3,85.38,14.620000000000005,19022005,TUABCOMB-R,TUABEXB-R
3,110filter,TUABCOMBR_test_TUABEXBR_HPO3,84.93,15.069999999999993,20110407,TUABCOMB-R,TUABEXB-R
4,110filter,TUABCOMBR_test_TUABEXBR_HPO3,84.7,15.299999999999997,20170629,TUABCOMB-R,TUABEXB-R
5,110filter,TUABCOMBR_test_TUABEXBR_HPO3,84.93,15.069999999999993,42,TUABCOMB-R,TUABEXB-R
6,110filter,TUABCOMBR_test_TUABEXBR_HPO3,85.83,14.170000000000002,73,TUABCOMB-R,TUABEXB-R
7,110filter,TUABCOMBR_test_TUABEXBR_HPO3,85.49,14.510000000000005,5157,TUABCOMB-R,TUABEXB-R
8,110filter,TUABCOMBR_test_TUABEXBR_HPO3,84.36,15.64,15011963,TUABCOMB-R,TUABEXB-R
9,110filter,TUABCOMBR_test_TUABEXBR_HPO3,85.26,14.739999999999995,682016,TUABCOMB-R,TUABEXB-R
