,modelsize,task_name,accuracy,error,seed,trainset,testset
4,39filter,TUABR_test_TUABR_HPO,86.23,13.769999999999996,20170629,TUAB-R,TUAB-R
5,39filter,TUABR_test_TUABR_HPO,84.78,15.219999999999999,42,TUAB-R,TUAB-R
6,39filter,TUABR_test_TUABR_HPO,86.59,13.409999999999997,73,TUAB-R,TUAB-R
7,39filter,TUABR_test_TUABR_HPO,85.87,14.129999999999995,5157,TUAB-R,TUAB-R
8,39filter,TUABR_test_TUABR_HPO,85.87,14.129999999999995,15011963,TUAB-R,TUAB-R
9,39filter,TUABR_test_TUABR_HPO,86.59,13.409999999999997,682016,TUAB-R,TUAB-R
0,55filter,TUABR_test_TUABR_HPO,85.87,14.129999999999995,0,TUAB-R,TUAB-R
1,55filter,TUABR_test_TUABR_HPO,86.96,13.040000000000006,1,TUAB-R,TUAB-R
2,55filter,TUABR_test_TUABR_HPO,85.87,14.129999999999995,19022005,TUAB-R,TUAB-R
3,55filter,TUABR_test_TUABR_HPO,86.23,13.769999999999996,20110407,TUAB-R,TUAB-R
4,55filter,TUABR_test_TUABR_HPO,85.51,14.489999999999995,20170629,TUAB-R,TUAB-R
5,55filter,TUABR_test_TUABR_HPO,86.96,13.040000000000006,42,TUAB-R,TUAB-R
6,55filter,TUABR_test_TUABR_HPO,86.59,13.409999999999997,73,TUAB-R,TUAB-R
7,55filter,TUABR_test_TUABR_HPO,85.51,14.489999999999995,5157,TUAB-R,TUAB-R
8,55filter,TUABR_test_TUABR_HPO,85.51,14.489999999999995,15011963,TUAB-R,TUAB-R
9,55filter,TUABR_test_TUABR_HPO,85.87,14.129999999999995,682016,TUAB-R,TUAB-R
0,75filter,TUABR_test_TUABR_HPO,85.87,14.129999999999995,0,TUAB-R,TUAB-R
1,75filter,TUABR_test_TUABR_HPO,86.96,13.040000000000006,1,TUAB-R,TUAB-R
2,75filter,TUABR_test_TUABR_HPO,84.78,15.219999999999999,19022005,TUAB-R,TUAB-R
3,75filter,TUABR_test_TUABR_HPO,85.51,14.489999999999995,20110407,TUAB-R,TUAB-R
4,75filter,TUABR_test_TUABR_HPO,86.23,13.769999999999996,20170629,TUAB-R,TUAB-R
5,75filter,TUABR_test_TUABR_HPO,86.59,13.409999999999997,42,TUAB-R,TUAB-R
6,75filter,TUABR_test_TUABR_HPO,85.14,14.86,73,TUAB-R,TUAB-R
7,75filter,TUABR_test_TUABR_HPO,87.32,12.680000000000007,5157,TUAB-R,TUAB-R
8,75filter,TUABR_test_TUABR_HPO,85.87,14.129999999999995,15011963,TUAB-R,TUAB-R
9,75filter,TUABR_test_TUABR_HPO,86.59,13.409999999999997,682016,TUAB-R,TUAB-R
0,110filter,TUABR_test_TUABR_HPO,86.59,13.409999999999997,0,TUAB-R,TUAB-R
1,110filter,TUABR_test_TUABR_HPO,85.87,14.129999999999995,1,TUAB-R,TUAB-R
2,110filter,TUABR_test_TUABR_HPO,85.51,14.489999999999995,19022005,TUAB-R,TUAB-R
3,110filter,TUABR_test_TUABR_HPO,85.51,14.489999999999995,20110407,TUAB-R,TUAB-R
4,110filter,TUABR_test_TUABR_HPO,85.87,14.129999999999995,20170629,TUAB-R,TUAB-R
5,110filter,TUABR_test_TUABR_HPO,85.87,14.129999999999995,42,TUAB-R,TUAB-R
6,110filter,TUABR_test_TUABR_HPO,85.87,14.129999999999995,73,TUAB-R,TUAB-R
7,110filter,TUABR_test_TUABR_HPO,85.51,14.489999999999995,5157,TUAB-R,TUAB-R
8,110filter,TUABR_test_TUABR_HPO,85.87,14.129999999999995,15011963,TUAB-R,TUAB-R
9,110filter,TUABR_test_TUABR_HPO,86.59,13.409999999999997,682016,TUAB-R,TUAB-R
